"epoch","set","loss","captcha.acc"
1,"train",0.539299803972244,0
1,"valid",0.342475146055222,0
2,"train",0.354089663028717,0
2,"valid",0.345518440008163,0
3,"train",0.340191729068756,0
3,"valid",0.339580363035202,0
4,"train",0.335263452529907,0.001
4,"valid",0.331424713134766,0
5,"train",0.329210557937622,0.002
5,"valid",0.326207500696182,0
6,"train",0.313939892053604,0.007
6,"valid",0.311148428916931,0
7,"train",0.288222720623016,0.035
7,"valid",0.278378117084503,0.02
8,"train",0.243150715231895,0.118
8,"valid",0.221249017119408,0.155
9,"train",0.186276035308838,0.271
9,"valid",0.171040752530098,0.315
10,"train",0.136585139036179,0.449
10,"valid",0.129795467853546,0.51
11,"train",0.0990722718834877,0.637
11,"valid",0.103614020347595,0.64
12,"train",0.0781652215123177,0.737
12,"valid",0.0854608312249184,0.665
13,"train",0.0596739199757576,0.821
13,"valid",0.0744489282369614,0.755
14,"train",0.0459402632713318,0.901
14,"valid",0.0711423367261887,0.765
15,"train",0.0385423536598682,0.923
15,"valid",0.0646814219653606,0.795
16,"train",0.0319480504840612,0.941
16,"valid",0.0639660023152828,0.765
17,"train",0.0278221052139997,0.953
17,"valid",0.0576897084712982,0.8
18,"train",0.0245620208233595,0.957
18,"valid",0.0531396508216858,0.82
19,"train",0.0210187958180904,0.975
19,"valid",0.0540375642478466,0.845
20,"train",0.0192451770976186,0.976
20,"valid",0.0518572486937046,0.85
21,"train",0.0165942773222923,0.985
21,"valid",0.0501912146806717,0.86
22,"train",0.0154139687493443,0.984
22,"valid",0.0467955097556114,0.855
23,"train",0.0145982193946838,0.988
23,"valid",0.0502876840531826,0.845
24,"train",0.0128953423351049,0.991
24,"valid",0.0503162182867527,0.845
25,"train",0.0118078654259443,0.994
25,"valid",0.0438133046030998,0.865
26,"train",0.0118533207662404,0.985
26,"valid",0.0530669689178467,0.835
27,"train",0.012427353002131,0.992
27,"valid",0.0508649900555611,0.855
28,"train",0.0115999045036733,0.992
28,"valid",0.0474808111786842,0.865
29,"train",0.0105225904472172,0.99
29,"valid",0.0524942830204964,0.845
30,"train",0.00964409423992038,0.993
30,"valid",0.0499789230525494,0.85
31,"train",0.00913994532078505,0.994
31,"valid",0.049297096580267,0.835
32,"train",0.00934522975236177,0.99
32,"valid",0.0471587993204594,0.86
33,"train",0.00961234450340271,0.991
33,"valid",0.0501160591840744,0.86
34,"train",0.00924468472599983,0.994
